HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
1172	VPS51	VPS51, GARP complex subunit	Approved	C11orf3, C11orf2	ANG2, ANG3, FFR	11q13.1	AF024631	NM_013265		Golgi associated retrograde protein (GARP) complex	1424
10518	VPS52	VPS52, GARP complex subunit	Approved	SACM2L	ARE1	6p21.32	AJ223319	NM_022553		Golgi associated retrograde protein (GARP) complex	1424
25608	VPS53	VPS53, GARP complex subunit	Approved		FLJ10979, HCCS1	17p13.3		NM_018289		Golgi associated retrograde protein (GARP) complex	1424
18652	VPS54	VPS54, GARP complex subunit	Approved		HCC8, PPP1R164	2p15-p14	AF102177	NM_016516		Golgi associated retrograde protein (GARP) complex	1424
17842	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	Approved			22q13.1	AF190862	NM_013365	GGA	Golgi associated, gamma adaptin ear containing, ARF binding proteins	1031
16064	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	Approved		VEAR, KIAA1080	16p12.2	AF190863		GGA	Golgi associated, gamma adaptin ear containing, ARF binding proteins	1031
17079	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	Approved		KIAA0154	17q25.1	AF190864	NM_138619	GGA	Golgi associated, gamma adaptin ear containing, ARF binding proteins	1031
4421	GNRHR	gonadotropin releasing hormone receptor	Approved	GRHR	LHRHR	4q13.2			GNRHR	Gonadotropin releasing hormone receptors	227
16341	GNRHR2	gonadotropin releasing hormone receptor 2 (pseudogene)	Approved			1q21.1	AF403014	NR_002328	GNRHR	Gonadotropin releasing hormone receptors	227
17030	GPN1	GPN-loop GTPase 1	Approved	XAB1	NTPBP, MBDIN, ATPBD1A, RPAP4	2p23.3	AB044661	NM_007266	GPN	GPN-loop GTPases	578
25513	GPN2	GPN-loop GTPase 2	Approved	ATPBD1B	FLJ10349	1p36.11	AK001211	NM_018066	GPN	GPN-loop GTPases	578
30186	GPN3	GPN-loop GTPase 3	Approved	ATPBD1C	MGC14560	12q24.11	BC008416	NM_016301	GPN	GPN-loop GTPases	578
29305	GRAMD1A	GRAM domain containing 1A	Approved	KIAA1533	FLJ90346	19q13.11	AK074864	NM_020895	GRAM	GRAM domain containing	1146
29214	GRAMD1B	GRAM domain containing 1B	Approved	LINC01059	KIAA1201	11q24.1	AB033027	XM_370660	GRAM	GRAM domain containing	1146
25252	GRAMD1C	GRAM domain containing 1C	Approved		DKFZp434C0328	3q13.31		NM_017577	GRAM	GRAM domain containing	1146
27287	GRAMD2A	GRAM domain containing 2A	Approved	GRAMD2		15q23	AK002016	NM_001012642	GRAM	GRAM domain containing	1146
24911	GRAMD2B	GRAM domain containing 2B	Approved	GRAMD3	NS3TP2, FLJ21313	5q23.2	BC008590	NM_023927	GRAM	GRAM domain containing	1146
29113	GRAMD4	GRAM domain containing 4	Approved		KIAA0767, DIP	22q13.31		NM_015124	GRAM	GRAM domain containing	1146
8017	NSMAF	neutral sphingomyelinase activation associated factor	Approved		FAN, GRAMD5	8q12.1	X96586	NM_003580	GRAM	GRAM domain containing	1146
17791	TBC1D8	TBC1 domain family member 8	Approved		HBLP1, VRP, AD3, GRAMD8	2q11.2	AB024057	NM_007063	GRAM	GRAM domain containing	1146
24715	TBC1D8B	TBC1 domain family member 8B	Approved		FLJ20298, RP11-321G1.1, GRAMD8B	Xq22.3	AK123957	NM_017752	GRAM	GRAM domain containing	1146
21710	TBC1D9	TBC1 domain family member 9	Approved		KIAA0882, MDR1, GRAMD9	4q31.21	AB020689	NM_015130	GRAM	GRAM domain containing	1146
29097	TBC1D9B	TBC1 domain family member 9B	Approved		KIAA0676, GRAMD9B	5q35.3	AB014576	NM_015043	GRAM	GRAM domain containing	1146
12738	WBP2	WW domain binding protein 2	Approved		WBP-2, GRAMD6	17q25.1	U79458	NM_012478	GRAM	GRAM domain containing	1146
28389	WBP2NL	WBP2 N-terminal like	Approved		FLJ26145, MGC26816, PAWP, GRAMD7	22q13.2	BC022546	NM_152613	GRAM	GRAM domain containing	1146
1929	CHGA	chromogranin A	Approved			14q32.12		NM_001275	SCG	Granins	925
1930	CHGB	chromogranin B	Approved	SCG1	SgI	20p12.3		NM_001819	SCG	Granins	925
17301	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	Approved		SAAS, SgVIII, SCG8, proSAAS, PEN, BigLEN	Xp11.23	AF181562	NM_013271	SCG	Granins	925
10575	SCG2	secretogranin II	Approved		CHGC, SgII, SN	2q36.1	M25756	NM_003469	SCG	Granins	925
13707	SCG3	secretogranin III	Approved		SgIII, FLJ90833	15q21.2	AF078851	NM_013243	SCG	Granins	925
10816	SCG5	secretogranin V	Approved	SGNE1	7B2, SgV	15q13.3	Y00757	NM_003020	SCG	Granins	925
12684	VGF	VGF nerve growth factor inducible	Approved		SCG7, SgVII	7q22.1	Y12661	NM_003378	SCG	Granins	925
4392	GNAS	GNAS complex locus	Approved	GNAS1	NESP55, NESP, GNASXL, GPSA, SCG6, SgVI	20q13.32	M21142	NM_000516	SCG	Granins	925
9445	PRL	prolactin	Approved			6p22.3	D00411	NM_000948		Growth hormone family	1175
2440	CSH1	chorionic somatomammotropin hormone 1	Approved		hCS-A, CSA, PL, CSMT, FLJ75407	17q23.3	J00118	NM_001317		Growth hormone family	1175
2441	CSH2	chorionic somatomammotropin hormone 2	Approved		hCS-B, CSB, CS-2	17q23.3	V00573	NM_020991		Growth hormone family	1175
2442	CSHL1	chorionic somatomammotropin hormone like 1	Approved	CSHP1	hCS-L, CSL, CS-5, MGC149868	17q23.3	BC029365	NM_022579		Growth hormone family	1175
4261	GH1	growth hormone 1	Approved		GH-N, GHN, GH, hGH-N	17q23.3	M13438	NM_000515		Growth hormone family	1175
4262	GH2	growth hormone 2	Approved		GH-V, GHV, GHL, hGH-V	17q23.3	J03756	NM_002059		Growth hormone family	1175
23237	GIMAP1	GTPase, IMAP family member 1	Approved		HIMAP1, IMAP38, IMAP1, IAN2	7q36.1	AJ306287	NM_130759	GIMAP	GTPases, IMAP	580
21789	GIMAP2	GTPase, IMAP family member 2	Approved		DKFZp586D0824, HIMAP2, IMAP2, IAN12	7q36.1	AL110151	NM_015660	GIMAP	GTPases, IMAP	580
30975	GIMAP3P	GTPase, IMAP family member 3 pseudogene	Approved		GIMAP3, IAN4P	7q36.1	AJ580951		GIMAP	GTPases, IMAP	580
21872	GIMAP4	GTPase, IMAP family member 4	Approved		HIMAP4, FLJ11110, IMAP4, IAN1	7q36.1	AK001972	NM_018326	GIMAP	GTPases, IMAP	580
18005	GIMAP5	GTPase, IMAP family member 5	Approved	IAN4L1	HIMAP3, IAN5	7q36.1	AK002158	NM_018384	GIMAP	GTPases, IMAP	580
21918	GIMAP6	GTPase, IMAP family member 6	Approved		FLJ22690, IAN6	7q36.1	AK026343	NM_024711	GIMAP	GTPases, IMAP	580
22404	GIMAP7	GTPase, IMAP family member 7	Approved		MGC27027, IAN7	7q36.1	BC027613	NM_153236	GIMAP	GTPases, IMAP	580
21792	GIMAP8	GTPase, IMAP family member 8	Approved		DKFZp667I133, hIAN6, IAN9	7q36.1	AL834361	NM_175571	GIMAP	GTPases, IMAP	580
4688	GUCY2C	guanylate cyclase 2C	Approved	GUC2C	STAR	12p12.3		NM_004963	GUCY2	Guanylate cyclase receptors	343
4689	GUCY2D	guanylate cyclase 2D, retinal	Approved	CORD6, LCA, GUC2D, GUC1A4	retGC, RETGC-1, ROS-GC1, CYGD, LCA1	17p13.1	L26921	NM_000180	GUCY2	Guanylate cyclase receptors	343
4690	GUCY2EP	guanylate cyclase 2E, pseudogene	Approved	GUCY2E	GC-E	11q13.5		NR_024042	GUCY2	Guanylate cyclase receptors	343
4691	GUCY2F	guanylate cyclase 2F, retinal	Approved		GUC2DL, GC-F, RetGC-2, ROS-GC2, CYGF	Xq22.3-q23	L37378	NM_001522	GUCY2	Guanylate cyclase receptors	343
31863	GUCY2GP	guanylate cyclase 2G, pseudogene	Approved	GUCY2G		10q25.2	XM_497249	XM_497249	GUCY2	Guanylate cyclase receptors	343
7943	NPR1	natriuretic peptide receptor 1	Approved	ANPRA, NPRA	GUCY2A, ANPa	1q21.3	BC063304	NM_000906	GUCY2	Guanylate cyclase receptors	343
7944	NPR2	natriuretic peptide receptor 2	Approved	ANPRB, NPRB, AMDM	GUCY2B, ANPb	9p13.3	AJ005282		GUCY2	Guanylate cyclase receptors	343
4684	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2	Approved	GUC1A2	GC-SA2	11q22.3	X63282	NM_001256424	GUCY1	Guanylate cyclases, soluble	820
4685	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1	Approved	GUC1A3, GUCY1A3	GC-SA3	4q32.1			GUCY1	Guanylate cyclases, soluble	820
4686	GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)	Approved		GC-SB2	13q14.3	AF038499		GUCY1	Guanylate cyclases, soluble	820
4687	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1	Approved	GUC1B3, GUCY1B3	GC-SB3, GC-S-beta-1	4q32.1	AF020340		GUCY1	Guanylate cyclases, soluble	820
14264	GAR1	GAR1 ribonucleoprotein	Approved	NOLA1		4q25	AJ276003		NOLA	H/ACA ribonucleoprotein complex	1221
14377	NHP2	NHP2 ribonucleoprotein	Approved	NOLA2	FLJ20479	5q35.3	AF161404	NM_017838	NOLA	H/ACA ribonucleoprotein complex	1221
14378	NOP10	NOP10 ribonucleoprotein	Approved	NOLA3	NOP10P, MGC70651	15q14	AB043103	NM_018648	NOLA	H/ACA ribonucleoprotein complex	1221
2890	DKC1	dyskerin pseudouridine synthase 1	Approved	DKC	XAP101, dyskerin, NAP57, NOLA4, Cbf5	Xq28	AJ224481	NM_001363	NOLA	H/ACA ribonucleoprotein complex	1221
24599	ENOPH1	enolase-phosphatase 1	Approved		MASA, E1, mtnC	4q21.22		NM_021204		HAD Asp-based non-protein phosphatases	1045
3402	EPHX2	epoxide hydrolase 2	Approved			8p21.2-p21.1	L05779	NM_001979		HAD Asp-based non-protein phosphatases	1045
30042	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Approved		HDHD2B	10q26.13	AB049629	NM_022126		HAD Asp-based non-protein phosphatases	1045
16140	NANP	N-acetylneuraminic acid phosphatase	Approved	C20orf147, HDHD4	dJ694B14.3, MGC26833	20p11.21	AL031673	NM_152667		HAD Asp-based non-protein phosphatases	1045
16815	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase	Approved			17q21.32	AJ457189	NM_001143804		HAD Asp-based non-protein phosphatases	1045
28316	PHOSPHO2	phosphatase, orphan 2	Approved		MGC22679	2q31.1	BC022324	NM_001008489		HAD Asp-based non-protein phosphatases	1045
9114	PMM1	phosphomannomutase 1	Approved		Sec53	22q13.2		NM_002676		HAD Asp-based non-protein phosphatases	1045
9115	PMM2	phosphomannomutase 2	Approved	CDG1	CDGS, CDG1a, PMI, PMI1	16p13.2	BC008310	NM_000303		HAD Asp-based non-protein phosphatases	1045
9154	PNKP	polynucleotide kinase 3'-phosphatase	Approved		PNK	19q13.33	AF126486	NM_007254		HAD Asp-based non-protein phosphatases	1045
9577	PSPH	phosphoserine phosphatase	Approved	PSP		7p11.2	Y10275	NM_004577		HAD Asp-based non-protein phosphatases	1045
16818	PUDP	pseudouridine 5'-phosphatase	Approved	FAM16AX, HDHD1A, HDHD1	DXF68S1E, GS1	Xp22.31	M86934	NM_012080		HAD Asp-based non-protein phosphatases	1045
30259	PDXP	pyridoxal phosphatase	Approved		dJ37E16.5, FLJ32703, CIN	22q13.1	BC064922	NM_020315		HAD Asp-based protein phosphatases	702
28781	MDP1	magnesium dependent phosphatase 1	Approved		MGC5987, FN6Pase	14q12	BC046912	NM_138476		HAD Asp-based protein phosphatases	702
25364	HDHD2	haloacid dehalogenase like hydrolase domain containing 2	Approved		DKFZP564D1378	18q21.1	AL136681	NM_032124	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
28171	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	Approved	C9orf158	MGC12904	9q32	AK097067	NM_031219	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
30042	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Approved		HDHD2B	10q26.13	AB049629	NM_022126	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
16140	NANP	N-acetylneuraminic acid phosphatase	Approved	C20orf147, HDHD4	dJ694B14.3, MGC26833	20p11.21	AL031673	NM_152667	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
16818	PUDP	pseudouridine 5'-phosphatase	Approved	FAM16AX, HDHD1A, HDHD1	DXF68S1E, GS1	Xp22.31	M86934	NM_012080	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
20200	PUDPP1	pseudouridine 5'-phosphatase pseudogene 1	Approved	FAM16AY, HDHD1BP, HDHD1P1		Yq11.221		NG_002612	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
1843	HDHD5	haloacid dehalogenase like hydrolase domain containing 5	Approved	CECR5		22q11.1	AF273270	NM_017829	HDHD	Haloacid dehalogenase like hydrolase domain containing	1377
25174	HAUS1	HAUS augmin like complex subunit 1	Approved	CCDC5	HEI-C, HsT1461, FLJ40084	18q21.1	AY360137	NM_138443	HAUS	HAUS augmin like complex 	581
25530	HAUS2	HAUS augmin like complex subunit 2	Approved	C15orf25, CEP27	FLJ10460, HsT17025	15q15.2	AK001322	NM_018097	HAUS	HAUS augmin like complex 	581
28719	HAUS3	HAUS augmin like complex subunit 3	Approved	C4orf15	MGC4701, IT1, dgt3	4p16.3	AF040964	NM_024511	HAUS	HAUS augmin like complex 	581
20163	HAUS4	HAUS augmin like complex subunit 4	Approved	C14orf94	FLJ20424	14q11.2	AK000431		HAUS	HAUS augmin like complex 	581
29130	HAUS5	HAUS augmin like complex subunit 5	Approved	KIAA0841	dgt5	19q13.12	AB020648		HAUS	HAUS augmin like complex 	581
25948	HAUS6	HAUS augmin like complex subunit 6	Approved	FAM29A	FLJ20060, KIAA1574, dgt6	9p22.1	AL832495	NM_017645	HAUS	HAUS augmin like complex 	581
32979	HAUS7	HAUS augmin like complex subunit 7	Approved	UCHL5IP	UIP1	Xq28	AF267739	NM_017518	HAUS	HAUS augmin like complex 	581
30532	HAUS8	HAUS augmin like complex subunit 8	Approved	HICE1	MGC20533, NY-SAR-48	19p13.11	BC004398	NM_001011699	HAUS	HAUS augmin like complex 	581
19022	HSPA12A	heat shock protein family A (Hsp70) member 12A	Approved		FLJ13874, KIAA0417	10q25.3	AB007877	NM_025015	HSPA	Heat shock 70kDa proteins	583
16193	HSPA12B	heat shock protein family A (Hsp70) member 12B	Approved	C20orf60	dJ1009E24.2	20p13	AK056712	NM_052970	HSPA	Heat shock 70kDa proteins	583
11375	HSPA13	heat shock protein family A (Hsp70) member 13	Approved	STCH		21q11.2			HSPA	Heat shock 70kDa proteins	583
29526	HSPA14	heat shock protein family A (Hsp70) member 14	Approved		HSP70-4, HSP70L1	10p13	AF112210	NM_016299	HSPA	Heat shock 70kDa proteins	583
5232	HSPA1A	heat shock protein family A (Hsp70) member 1A	Approved	HSPA1	HSP70-1	6p21.33	BC002453		HSPA	Heat shock 70kDa proteins	583
5233	HSPA1B	heat shock protein family A (Hsp70) member 1B	Approved		HSP70-2	6p21.33			HSPA	Heat shock 70kDa proteins	583
5234	HSPA1L	heat shock protein family A (Hsp70) member 1 like	Approved		HSP70-HOM, hum70t	6p21.33	D85730		HSPA	Heat shock 70kDa proteins	583
5235	HSPA2	heat shock protein family A (Hsp70) member 2	Approved			14q23.3	L26336, BC001752		HSPA	Heat shock 70kDa proteins	583
5237	HSPA4	heat shock protein family A (Hsp70) member 4	Approved		HS24/P52, HSPH2	5q31.1	AB023420	NM_002154, NM_198431	HSPA	Heat shock 70kDa proteins	583
17041	HSPA4L	heat shock protein family A (Hsp70) member 4 like	Approved		APG-1, Osp94, HSPH3	4q28.1	AB023421	NM_014278	HSPA	Heat shock 70kDa proteins	583
5238	HSPA5	heat shock protein family A (Hsp70) member 5	Approved	GRP78	BiP	9q33.3			HSPA	Heat shock 70kDa proteins	583
5239	HSPA6	heat shock protein family A (Hsp70) member 6	Approved		HSP70B'	1q23.3		NM_002155	HSPA	Heat shock 70kDa proteins	583
5240	HSPA7	heat shock protein family A (Hsp70) member 7	Approved		HSP70B	1q23.3		NR_024151	HSPA	Heat shock 70kDa proteins	583
5241	HSPA8	heat shock protein family A (Hsp70) member 8	Approved	HSPA10	HSC71, HSC70, HSP73	11q24.1	Y00371		HSPA	Heat shock 70kDa proteins	583
5244	HSPA9	heat shock protein family A (Hsp70) member 9	Approved	HSPA9B	GRP75, PBP74, mot-2, mthsp75	5q31.2	L11066	NM_004134	HSPA	Heat shock 70kDa proteins	583
16969	HSPH1	heat shock protein family H (Hsp110) member 1	Approved		HSP105B, KIAA0201, HSP105A, NY-CO-25	13q12.3	AB003333		HSPA	Heat shock 70kDa proteins	583
16931	HYOU1	hypoxia up-regulated 1	Approved		ORP150, HSP12A, Grp170	11q23.3	U65785	NM_006389	HSPA	Heat shock 70kDa proteins	583
5253	HSP90AA1	heat shock protein 90 alpha family class A member 1	Approved	HSPC1, HSPCA	Hsp89, Hsp90, FLJ31884, HSP90N	14q32.31	M27024	NM_005348	HSP90	Heat shock 90kDa proteins	586
5254	HSP90AA3P	heat shock protein 90 alpha family class A member 3, pseudogene	Approved	HSPCAL1		1q23.1		NG_005218	HSP90	Heat shock 90kDa proteins	586
5258	HSP90AB1	heat shock protein 90 alpha family class B member 1	Approved	HSPC2, HSPCB		6p21.1	AF275719	NM_007355	HSP90	Heat shock 90kDa proteins	586
12028	HSP90B1	heat shock protein 90 beta family member 1	Approved	TRA1	GP96, GRP94	12q23.3	AY040226	NM_003299	HSP90	Heat shock 90kDa proteins	586
16264	TRAP1	TNF receptor associated protein 1	Approved		HSP75, HSP90L	16p13.3	AF154108	NM_016292	HSP90	Heat shock 90kDa proteins	586
10848	SHH	sonic hedgehog	Approved	HPE3, HLP3	HHG1, SMMCI, TPT, TPTPS, MCOPCB5	7q36.3		NM_000193		Hedgehog signaling molecule family	1373
5956	IHH	indian hedgehog	Approved		HHG2, BDA1	2q35	L38517	NM_002181		Hedgehog signaling molecule family	1373
2865	DHH	desert hedgehog	Approved		HHG-3, MGC35145	12q13.12	AB010994	NM_021044		Hedgehog signaling molecule family	1373
28272	CENPBD1	CENPB DNA-binding domain containing 1	Approved		MGC16385	16q24.3	AK056131	NM_145039		Helix-turn-helix CENPB type domain containing	533
1852	CENPB	centromere protein B	Approved			20p13	X05299	NM_001810		Helix-turn-helix CENPB type domain containing	533
6200	JRKL	JRK like	Approved		HHMJG	11q21	AF004715	NM_003772		Helix-turn-helix CENPB type domain containing	533
6199	JRK	Jrk helix-turn-helix protein	Approved		JH8, jerky	8q24.3	AF072467	NM_003724		Helix-turn-helix CENPB type domain containing	533
18800	POGK	pogo transposable element derived with KRAB domain	Approved		KIAA15131, LST003, BASS2, KRBOX2	1q24.1	AB040946	NM_017542		Helix-turn-helix CENPB type domain containing	533
18801	POGZ	pogo transposable element derived with ZNF domain	Approved		KIAA0461, ZNF635m, ZNF280E	1q21.3	AB007930	NM_207171		Helix-turn-helix CENPB type domain containing	533
18334	TIGD3	tigger transposable element derived 3	Approved			11q13.1		NM_145719		Helix-turn-helix CENPB type domain containing	533
14523	TIGD1	tigger transposable element derived 1	Approved		EEYORE	2q37.1		NM_145702		Helix-turn-helix CENPB type domain containing	533
18332	TIGD6	tigger transposable element derived 6	Approved		DKFZp761E2110	5q32	AK056604	NM_030953		Helix-turn-helix CENPB type domain containing	533
18331	TIGD7	tigger transposable element derived 7	Approved		Sancho	16p13.3	AF251050	NM_033208		Helix-turn-helix CENPB type domain containing	533
18335	TIGD4	tigger transposable element derived 4	Approved			4q31.3	AK058054	NM_145720		Helix-turn-helix CENPB type domain containing	533
18336	TIGD5	tigger transposable element derived 5	Approved		FLJ14926	8q24.3	AK027832	NM_032862		Helix-turn-helix CENPB type domain containing	533
18333	TIGD2	tigger transposable element derived 2	Approved			4q22.1	AK027653	NM_145715		Helix-turn-helix CENPB type domain containing	533
4823	HBA1	hemoglobin subunit alpha 1	Approved		HBA-T3	16p13.3	AF349571	NM_000558	HB	Hemoglobin subunits	940
4824	HBA2	hemoglobin subunit alpha 2	Approved		HBA-T2	16p13.3	BC008572	NM_000517	HB	Hemoglobin subunits	940
4827	HBB	hemoglobin subunit beta	Approved		CD113t-C, beta-globin	11p15.4	J00173	NM_000518	HB	Hemoglobin subunits	940
4829	HBD	hemoglobin subunit delta	Approved			11p15.4	AY034468	NM_000519	HB	Hemoglobin subunits	940
4830	HBE1	hemoglobin subunit epsilon 1	Approved		HBE	11p15.4	BC015537	NM_005330	HB	Hemoglobin subunits	940
4831	HBG1	hemoglobin subunit gamma 1	Approved		HBG-T2	11p15.4	M91036	NM_000559	HB	Hemoglobin subunits	940
4832	HBG2	hemoglobin subunit gamma 2	Approved		HBG-T1	11p15.4	BC029387	NM_000184	HB	Hemoglobin subunits	940
4826	HBM	hemoglobin subunit mu	Approved	HBAP2	HBK	16p13.3	BC035682	NM_001003938	HB	Hemoglobin subunits	940
4833	HBQ1	hemoglobin subunit theta 1	Approved		HBQ	16p13.3	BC056686	NM_005331	HB	Hemoglobin subunits	940
4835	HBZ	hemoglobin subunit zeta	Approved		HBZ1, HBZ-T1	16p13.3	M24173	NM_005332	HB	Hemoglobin subunits	940
4856	HDGF	heparin binding growth factor	Approved		HMG1L2	1q23.1	D16431	NM_004494		Heparin binding growth factor family	1418
21095	HDGFL1	HDGF like 1	Approved	PWWP1	dJ309H15.1, Hdgfrp1, HRP-1	6p22.3	AK056824	NM_138574		Heparin binding growth factor family	1418
9527	PSIP1	PC4 and SFRS1 interacting protein 1	Approved	PSIP2	p52, LEDGF, p75, DFS70	9p22.3	AF098482	NM_033222		Heparin binding growth factor family	1418
5182	HRH1	histamine receptor H1	Approved			3p25.3			HRH	Histamine receptors	187
5183	HRH2	histamine receptor H2	Approved			5q35.2			HRH	Histamine receptors	187
5184	HRH3	histamine receptor H3	Approved		GPCR97	20q13.33	AF140538	NM_007232	HRH	Histamine receptors	187
17383	HRH4	histamine receptor H4	Approved		H4R, HH4R, AXOR35, GPCR105, GPRv53	18q11.2	AF312230		HRH	Histamine receptors	187
5283	HTN1	histatin 1	Approved		HIS1	4q13.3			HTN	Histatins and statherin	971
5284	HTN3	histatin 3	Approved		HIS2	4q13.3		NM_000200	HTN	Histatins and statherin	971
11369	STATH	statherin	Approved		STR	4q13.3		NM_003154	HTN	Histatins and statherin	971
4931	HLA-A	major histocompatibility complex, class I, A	Approved			6p22.1	D32129	NM_002116	HLA	Histocompatibility complex	588
4932	HLA-B	major histocompatibility complex, class I, B	Approved	AS		6p21.33	M15470	NM_005514	HLA	Histocompatibility complex	588
4933	HLA-C	major histocompatibility complex, class I, C	Approved	HLA-JY3, D6S204, PSORS1		6p21.33	M11886	NM_002117	HLA	Histocompatibility complex	588
4934	HLA-DMA	major histocompatibility complex, class II, DM alpha	Approved		D6S222E, RING6	6p21.32		NM_006120	HLA	Histocompatibility complex	588
4935	HLA-DMB	major histocompatibility complex, class II, DM beta	Approved		D6S221E, RING7	6p21.32		NM_002118	HLA	Histocompatibility complex	588
4936	HLA-DOA	major histocompatibility complex, class II, DO alpha	Approved	HLA-DZA, HLA-DNA	HLA-D0-alpha	6p21.32	M31525	NM_002119	HLA	Histocompatibility complex	588
4937	HLA-DOB	major histocompatibility complex, class II, DO beta	Approved			6p21.32		NM_002120	HLA	Histocompatibility complex	588
4938	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	Approved	HLA-DP1A		6p21.32	X00457	NM_033554	HLA	Histocompatibility complex	588
4939	HLA-DPA2	major histocompatibility complex, class II, DP alpha 2 (pseudogene)	Approved	HLA-DP2A		6p21.32	X01634		HLA	Histocompatibility complex	588
19393	HLA-DPA3	major histocompatibility complex, class II, DP alpha 3 (pseudogene)	Approved			6p21.32		NG_011547	HLA	Histocompatibility complex	588
4940	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	Approved	HLA-DP1B		6p21.32		NM_002121	HLA	Histocompatibility complex	588
4941	HLA-DPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene)	Approved	HLA-DP2B	DP2B, DPB2	6p21.32	M23911	NR_001435	HLA	Histocompatibility complex	588
4942	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	Approved	HLA-DQA	CELIAC1	6p21.32		NM_002122	HLA	Histocompatibility complex	588
4943	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	Approved	HLA-DXA		6p21.32		NM_020056	HLA	Histocompatibility complex	588
4944	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Approved	HLA-DQB	IDDM1, CELIAC1	6p21.32		NM_002123	HLA	Histocompatibility complex	588
4945	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2	Approved	HLA-DXB		6p21.32	M83890		HLA	Histocompatibility complex	588
4946	HLA-DQB3	major histocompatibility complex, class II, DQ beta 3	Approved	HLA-DVB	D6S205, D6S205E, DVB, DQB3	6p21.3	M35000		HLA	Histocompatibility complex	588
4947	HLA-DRA	major histocompatibility complex, class II, DR alpha	Approved	HLA-DRA1		6p21.32		NM_019111	HLA	Histocompatibility complex	588
4948	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Approved	HLA-DR1B		6p21.32	AJ297583	NM_002124	HLA	Histocompatibility complex	588
4950	HLA-DRB2	major histocompatibility complex, class II, DR beta 2 (pseudogene)	Approved	HLA-DR2B		6p21.3 alternate reference locus	M86691, GL000251, GL000255	NG_002392	HLA	Histocompatibility complex	588
4951	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	Approved	HLA-DR3B		6p21.3 alternate reference locus	BC008987, GL000250, GL000251, GL000255	NM_022555	HLA	Histocompatibility complex	588
4952	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	Approved	HLA-DR4B		6p21.3 alternate reference locus	GL000253, GL000254, GL000256	NM_021983	HLA	Histocompatibility complex	588
4953	HLA-DRB5	major histocompatibility complex, class II, DR beta 5	Approved			6p21.32		NM_002125	HLA	Histocompatibility complex	588
4954	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	Approved			6p21.32	L76566	NR_001298	HLA	Histocompatibility complex	588
4955	HLA-DRB7	major histocompatibility complex, class II, DR beta 7 (pseudogene)	Approved			6p21.3 alternate reference locus	AH001504, GL000252, GL000253, GL000256	NG_002433	HLA	Histocompatibility complex	588
4956	HLA-DRB8	major histocompatibility complex, class II, DR beta 8 (pseudogene)	Approved			6p21.3 alternate reference locus	M20556, GL000253, GL000256	NG_002433	HLA	Histocompatibility complex	588
4957	HLA-DRB9	major histocompatibility complex, class II, DR beta 9 (pseudogene)	Approved	HLA-DRB1L, HLA-DR1BL	D6S206, D6S206E	6p21.32	S78510	NG_002432	HLA	Histocompatibility complex	588
4962	HLA-E	major histocompatibility complex, class I, E	Approved			6p22.1	M20022	NM_005516	HLA	Histocompatibility complex	588
4963	HLA-F	major histocompatibility complex, class I, F	Approved			6p22.1	AY253269	NM_018950	HLA	Histocompatibility complex	588
4964	HLA-G	major histocompatibility complex, class I, G	Approved			6p22.1		NM_002127	HLA	Histocompatibility complex	588
4965	HLA-H	major histocompatibility complex, class I, H (pseudogene)	Approved			6p22.1	M31944	NR_001434	HLA	Histocompatibility complex	588
4967	HLA-J	major histocompatibility complex, class I, J (pseudogene)	Approved	HLA-CDA12, D6S203	CDA12, HLA-59	6p22.1	M80470	NR_024240	HLA	Histocompatibility complex	588
